folder_name,relative_path,depth,direct_file_count,total_file_count_recursive,direct_subfolder_count
canaaatacadista_1907594353968592,your_instagram_activity\messages\inbox\canaaatacadista_1907594353968592,4,1,1,0
canamoffroad_1816293376440695,your_instagram_activity\messages\inbox\canamoffroad_1816293376440695,4,1,1,0
canindedesouza_1768819571179405,your_instagram_activity\messages\inbox\canindedesouza_1768819571179405,4,1,1,0
cantinhovipcafesaothomaz_1771861767541852,your_instagram_activity\messages\inbox\cantinhovipcafesaothomaz_1771861767541852,4,1,1,0
caramurubrandao_1767092581352104,your_instagram_activity\messages\inbox\caramurubrandao_1767092581352104,4,1,1,0
carlagomes_383107946452688,your_instagram_activity\messages\inbox\carlagomes_383107946452688,4,1,1,0
carlosadrianolgpdauditoria_1828768945184467,your_instagram_activity\messages\inbox\carlosadrianolgpdauditoria_1828768945184467,4,1,1,0
carlosaugusto_1932830541444973,your_instagram_activity\messages\inbox\carlosaugusto_1932830541444973,4,1,1,0
carlosaugustoregodemoraes_501025894625452,your_instagram_activity\messages\inbox\carlosaugustoregodemoraes_501025894625452,4,1,1,0
carmemleao_559467915447916,your_instagram_activity\messages\inbox\carmemleao_559467915447916,4,1,1,0
carolinaocassiscontadoraemrioverdego_1956148312446529,your_instagram_activity\messages\inbox\carolinaocassiscontadoraemrioverdego_1956148312446529,4,1,1,0
carolinecostaleao_1857312532330108,your_instagram_activity\messages\inbox\carolinecostaleao_1857312532330108,4,1,1,0
caroltabosa_1944312276963466,your_instagram_activity\messages\inbox\caroltabosa_1944312276963466,4,1,1,0
cartorioxavier_1581133963289221,your_instagram_activity\messages\inbox\cartorioxavier_1581133963289221,4,1,1,0
casadamusicaescolademusica_1218211602906874,your_instagram_activity\messages\inbox\casadamusicaescolademusica_1218211602906874,4,1,1,0
casalizspaurbanomassagemesteticadepilacao_1945621816832512,your_instagram_activity\messages\inbox\casalizspaurbanomassagemesteticadepilacao_1945621816832512,4,1,1,0
cassiobellintaniiplinsky_1745805496814578,your_instagram_activity\messages\inbox\cassiobellintaniiplinsky_1745805496814578,4,1,1,0
cassiobezerraqueiroz_1768472254547470,your_instagram_activity\messages\inbox\cassiobezerraqueiroz_1768472254547470,4,1,1,0
catintas_1779809593413736,your_instagram_activity\messages\inbox\catintas_1779809593413736,4,1,1,0
ceccarlosecarreirooficial_1767205661340796,your_instagram_activity\messages\inbox\ceccarlosecarreirooficial_1767205661340796,4,1,1,0
celetiellfrankcoelhocorreia_1717655509629145,your_instagram_activity\messages\inbox\celetiellfrankcoelhocorreia_1717655509629145,4,1,1,0
celiamendes_824281062299932,your_instagram_activity\messages\inbox\celiamendes_824281062299932,4,1,1,0
celiojunior_986062519460886,your_instagram_activity\messages\inbox\celiojunior_986062519460886,4,1,1,0
celsoendrigoferrari_1435481357846563,your_instagram_activity\messages\inbox\celsoendrigoferrari_1435481357846563,4,1,1,0
centralsementesbrasil_1760253582036004,your_instagram_activity\messages\inbox\centralsementesbrasil_1760253582036004,4,1,1,0
centrodeexcelenciaemempreendedorismoinovadordegoias_1804840797577282,your_instagram_activity\messages\inbox\centrodeexcelenciaemempreendedorismoinovadordegoias_1804840797577282,4,1,1,0
centromedicoaugustabastos_1099188448142524,your_instagram_activity\messages\inbox\centromedicoaugustabastos_1099188448142524,4,1,1,0
cestascaixasvinhosqueijoservasgo_1686910112703685,your_instagram_activity\messages\inbox\cestascaixasvinhosqueijoservasgo_1686910112703685,4,1,1,0
cezaraugusto_1780567853337910,your_instagram_activity\messages\inbox\cezaraugusto_1780567853337910,4,1,1,0
chayenecynthia_1834885624572799,your_instagram_activity\messages\inbox\chayenecynthia_1834885624572799,4,1,1,0
chicokgl_428651111928875,your_instagram_activity\messages\inbox\chicokgl_428651111928875,4,1,1,0
christianegarciaduarte_1629932875079016,your_instagram_activity\messages\inbox\christianegarciaduarte_1629932875079016,4,1,1,0
ciee_1932152638179430,your_instagram_activity\messages\inbox\ciee_1932152638179430,4,1,1,0
cileiasandim_1671648060896557,your_instagram_activity\messages\inbox\cileiasandim_1671648060896557,4,1,1,0
cinthialeao_1148387049889330,your_instagram_activity\messages\inbox\cinthialeao_1148387049889330,4,1,1,0
cinthiamedeirossemijoias_1220623639332337,your_instagram_activity\messages\inbox\cinthiamedeirossemijoias_1220623639332337,4,1,1,0
clailtonrezende_1648377943223569,your_instagram_activity\messages\inbox\clailtonrezende_1648377943223569,4,1,1,0
claudiacitroni_547752159952825,your_instagram_activity\messages\inbox\claudiacitroni_547752159952825,4,1,1,0
claudinarodrigues_1124634935597875,your_instagram_activity\messages\inbox\claudinarodrigues_1124634935597875,4,1,1,0
cleliaresende_1835207377873957,your_instagram_activity\messages\inbox\cleliaresende_1835207377873957,4,1,1,0
cleonicerosamendonca_1781079016620127,your_instagram_activity\messages\inbox\cleonicerosamendonca_1781079016620127,4,1,1,0
cleudirfernandes_1767485617979467,your_instagram_activity\messages\inbox\cleudirfernandes_1767485617979467,4,1,1,0
cleytonflima_1807239650670730,your_instagram_activity\messages\inbox\cleytonflima_1807239650670730,4,1,2,1
photos,your_instagram_activity\messages\inbox\cleytonflima_1807239650670730\photos,5,1,1,0
clinicaintensivafisioterapiaereabilitacao_1648613416533355,your_instagram_activity\messages\inbox\clinicaintensivafisioterapiaereabilitacao_1648613416533355,4,1,1,0
cmveiculosrioverdegoias_1780970746630954,your_instagram_activity\messages\inbox\cmveiculosrioverdegoias_1780970746630954,4,1,1,0
codejajatai_1649189943142369,your_instagram_activity\messages\inbox\codejajatai_1649189943142369,4,1,1,0
codeparioverde_1742980577096638,your_instagram_activity\messages\inbox\codeparioverde_1742980577096638,4,1,1,0
coderv_533841618020190,your_instagram_activity\messages\inbox\coderv_533841618020190,4,1,1,0
comitivamundovalente_1914265296634831,your_instagram_activity\messages\inbox\comitivamundovalente_1914265296634831,4,1,1,0
comprasdomeujeito_1775259257202103,your_instagram_activity\messages\inbox\comprasdomeujeito_1775259257202103,4,1,1,0
conexaoagroband_1753710159357013,your_instagram_activity\messages\inbox\conexaoagroband_1753710159357013,4,1,1,0
congressomedicoderioverde_1736494024415021,your_instagram_activity\messages\inbox\congressomedicoderioverde_1736494024415021,4,1,1,0
constrular_500122174717936,your_instagram_activity\messages\inbox\constrular_500122174717936,4,1,1,0
consultoriaambientalconsultoriaderh_1102763457785023,your_instagram_activity\messages\inbox\consultoriaambientalconsultoriaderh_1102763457785023,4,1,1,0
contatudocontabilidade_1853822569345771,your_instagram_activity\messages\inbox\contatudocontabilidade_1853822569345771,4,1,1,0
cooperativacomigo_566982878029753,your_instagram_activity\messages\inbox\cooperativacomigo_566982878029753,4,1,1,0
cooprecicla_461482942404289,your_instagram_activity\messages\inbox\cooprecicla_461482942404289,4,1,1,0
coristasdocoralmunicipal_1860645315330163,your_instagram_activity\messages\inbox\coristasdocoralmunicipal_1860645315330163,4,1,1,0
correspondentecaixa_1847731813288180,your_instagram_activity\messages\inbox\correspondentecaixa_1847731813288180,4,1,1,0
costafilho_1475477420513623,your_instagram_activity\messages\inbox\costafilho_1475477420513623,4,1,1,0
criartpersonalizados_1700084881386208,your_instagram_activity\messages\inbox\criartpersonalizados_1700084881386208,4,1,1,0
cris_1942746853786675,your_instagram_activity\messages\inbox\cris_1942746853786675,4,1,1,0
crislaineneves_1083182463076456,your_instagram_activity\messages\inbox\crislaineneves_1083182463076456,4,1,1,0
cristianecongelados_1056278772433492,your_instagram_activity\messages\inbox\cristianecongelados_1056278772433492,4,1,1,0
cristianeguerra_1756451909082838,your_instagram_activity\messages\inbox\cristianeguerra_1756451909082838,4,1,1,0
cristiangomes_510142310380477,your_instagram_activity\messages\inbox\cristiangomes_510142310380477,4,1,1,0
croesusengenhariaarquitetura_1787422369319125,your_instagram_activity\messages\inbox\croesusengenhariaarquitetura_1787422369319125,4,1,1,0
ctaxcontabilidade_1799684208092941,your_instagram_activity\messages\inbox\ctaxcontabilidade_1799684208092941,4,1,1,0
cynthiaprado_1762471928480836,your_instagram_activity\messages\inbox\cynthiaprado_1762471928480836,4,1,1,0
danielaguimaraes_1945934340134593,your_instagram_activity\messages\inbox\danielaguimaraes_1945934340134593,4,1,1,0
danielbueno_1835186447876050,your_instagram_activity\messages\inbox\danielbueno_1835186447876050,4,1,1,0
danielcaldeira_1852818652779496,your_instagram_activity\messages\inbox\danielcaldeira_1852818652779496,4,1,1,0
danielguimaraesreformatributaria_1475880773806621,your_instagram_activity\messages\inbox\danielguimaraesreformatributaria_1475880773806621,4,1,1,0
daniellegomesdeoliveira_1784670149594347,your_instagram_activity\messages\inbox\daniellegomesdeoliveira_1784670149594347,4,1,1,0
